"premium_loading","kind","allocation","value","epsilon","K","tail_approximation","premium_p1","premium_p2","premium_p3","exceedances","mc_probability","mc_se","ci_low","ci_high","mc_to_tail_approximation","n_paths","seed"
0.1,"capital","equal",41.2454533912739,0.01,11.1644101322913,0.01,3.3,3.3,3.3,98286,0.0098286,3.11961514005173e-05,0.00976745554325499,0.00988974445674501,0.982859999999999,10000000,20260619
0.1,"capital","equal",124.883678530714,0.001,11.1644101322913,0.001,3.3,3.3,3.3,9363,0.0009363,9.67172860614895e-06,0.000917343411931948,0.000955256588068052,0.9363,10000000,20260619
0.1,"capital","equal",381.456093071336,1e-04,11.1644101322913,9.9999999999999e-05,3.3,3.3,3.3,921,9.21e-05,3.03465842542452e-06,8.6152069486168e-05,9.8047930513832e-05,0.921000000000009,10000000,20260619
0.1,"capital","skewed",45.624300831955,0.01,13.7832223855448,0.01,3.3,3.3,3.3,100404,0.0100404,3.15271158970179e-05,0.00997860685284184,0.0101021931471582,1.00404,10000000,20260619
0.1,"capital","skewed",138.277485010529,0.001,13.7832223855448,0.001,3.3,3.3,3.3,9368,0.0009368,9.67430827377338e-06,0.000917838355783404,0.000955761644216596,0.9368,10000000,20260619
0.1,"capital","skewed",422.633944881393,1e-04,13.7832223855448,1e-04,3.3,3.3,3.3,959,9.59e-05,3.09662401963816e-06,8.98306169215092e-05,0.000101969383078491,0.959,10000000,20260619
0.2,"capital","equal",41.2454533912739,0.01,11.1644101322913,0.01,3.6,3.6,3.6,95670,0.009567,3.07822554582993e-05,0.00950666677930173,0.00962733322069827,0.956699999999999,10000000,20260619
0.2,"capital","equal",124.883678530714,0.001,11.1644101322913,0.001,3.6,3.6,3.6,9283,0.0009283,9.63035959406501e-06,0.000909424495195633,0.000947175504804367,0.9283,10000000,20260619
0.2,"capital","equal",381.456093071336,1e-04,11.1644101322913,9.9999999999999e-05,3.6,3.6,3.6,918,9.18e-05,3.02971240813381e-06,8.58617636800577e-05,9.77382363199423e-05,0.918000000000009,10000000,20260619
0.2,"capital","skewed",45.624300831955,0.01,13.7832223855448,0.01,3.6,3.6,3.6,97437,0.0097437,3.10624537187744e-05,0.0096828175907112,0.0098045824092888,0.97437,10000000,20260619
0.2,"capital","skewed",138.277485010529,0.001,13.7832223855448,0.001,3.6,3.6,3.6,9268,0.0009268,9.62258303035105e-06,0.000907939737260512,0.000945660262739488,0.9268,10000000,20260619
0.2,"capital","skewed",422.633944881393,1e-04,13.7832223855448,1e-04,3.6,3.6,3.6,955,9.55e-05,3.09015986236958e-06,8.94432866697556e-05,0.000101556713330244,0.955,10000000,20260619
0.5,"capital","equal",41.2454533912739,0.01,11.1644101322913,0.01,4.5,4.5,4.5,88389,0.0088389,2.95986044380305e-05,0.00878088673530146,0.00889691326469854,0.883889999999999,10000000,20260619
0.5,"capital","equal",124.883678530714,0.001,11.1644101322913,0.001,4.5,4.5,4.5,9048,0.0009048,9.50779331369798e-06,0.000886164725105152,0.000923435274894848,0.9048,10000000,20260619
0.5,"capital","equal",381.456093071336,1e-04,11.1644101322913,9.9999999999999e-05,4.5,4.5,4.5,908,9.08e-05,3.01316702756419e-06,8.48941926259742e-05,9.67058073740258e-05,0.908000000000009,10000000,20260619
0.5,"capital","skewed",45.624300831955,0.01,13.7832223855448,0.01,4.5,4.5,4.5,89251,0.0089251,2.97412887918294e-05,0.00886680707396801,0.00898339292603199,0.89251,10000000,20260619
0.5,"capital","skewed",138.277485010529,0.001,13.7832223855448,0.001,4.5,4.5,4.5,9028,0.0009028,9.49728883503076e-06,0.00088418531388334,0.00092141468611666,0.9028,10000000,20260619
0.5,"capital","skewed",422.633944881393,1e-04,13.7832223855448,1e-04,4.5,4.5,4.5,951,9.51e-05,3.0836821494765e-06,8.9055982987026e-05,0.000101144017012974,0.951,10000000,20260619
