"premium_loading","kind","allocation","value","epsilon","K","tail_approximation","premium_p1","premium_p2","premium_p3","exceedances","mc_probability","mc_se","ci_low","ci_high","mc_to_tail_approximation","n_paths","seed"
0.1,"u-grid","equal",40,NA,11.1644101322913,0.0106617985482467,3.3,3.3,3.3,104825,0.0104825,3.22065477717653e-05,0.0104193751663673,0.0105456248336327,0.983183086096085,10000000,20260619
0.1,"u-grid","equal",80,NA,11.1644101322913,0.00251677059542802,3.3,3.3,3.3,23912,0.0023912,1.5445006191517e-05,0.00236092778786463,0.00242147221213537,0.950106459581127,10000000,20260619
0.1,"u-grid","equal",160,NA,11.1644101322913,0.00059913543218796,3.3,3.3,3.3,5578,0.0005578,7.4665176565786e-06,0.000543165625393106,0.000572434374606894,0.931008199536775,10000000,20260619
0.1,"u-grid","equal",320,NA,11.1644101322913,0.000143526528150095,3.3,3.3,3.3,1328,0.0001328,3.64393145050782e-06,0.000125657894357005,0.000139942105642995,0.925264490903884,10000000,20260619
0.1,"u-grid","equal",500,NA,11.1644101322913,5.73461172935619e-05,3.3,3.3,3.3,523,5.23e-05,2.28685952148356e-06,4.78177553378922e-05,5.67822446621078e-05,0.912005946841524,10000000,20260619
0.1,"u-grid","skewed",40,NA,13.7832223855448,0.0131627142570948,3.3,3.3,3.3,132065,0.0132065,3.60999838749964e-05,0.013135744031605,0.013277255968395,1.00332649801933,10000000,20260619
0.1,"u-grid","skewed",80,NA,13.7832223855448,0.00310712419188644,3.3,3.3,3.3,30269,0.0030269,1.737163744841e-05,0.00299285159060112,0.00306094840939888,0.974180564749896,10000000,20260619
0.1,"u-grid","skewed",160,NA,13.7832223855448,0.000739673373071555,3.3,3.3,3.3,6973,0.0006973,8.34753719794048e-06,0.000680938827092037,0.000713661172907963,0.942713399435218,10000000,20260619
0.1,"u-grid","skewed",320,NA,13.7832223855448,0.000177193244629747,3.3,3.3,3.3,1702,0.0001702,4.12517917138153e-06,0.000162114648824092,0.000178285351175908,0.9605332322665,10000000,20260619
0.1,"u-grid","skewed",500,NA,13.7832223855448,7.0797675671064e-05,3.3,3.3,3.3,674,6.74e-05,2.59606350538657e-06,6.23117155294423e-05,7.24882844705577e-05,0.952008655102603,10000000,20260619
0.2,"u-grid","equal",40,NA,11.1644101322913,0.0106617985482467,3.6,3.6,3.6,101869,0.0101869,3.17539400207124e-05,0.0101246622775594,0.0102491377224406,0.955457932721413,10000000,20260619
0.2,"u-grid","equal",80,NA,11.1644101322913,0.00251677059542802,3.6,3.6,3.6,23577,0.0023577,1.53366921163268e-05,0.002327640083452,0.002387759916548,0.93679575098462,10000000,20260619
0.2,"u-grid","equal",160,NA,11.1644101322913,0.00059913543218796,3.6,3.6,3.6,5548,0.0005548,7.44642328208651e-06,0.00054020501036711,0.00056939498963289,0.926000984408396,10000000,20260619
0.2,"u-grid","equal",320,NA,11.1644101322913,0.000143526528150095,3.6,3.6,3.6,1321,0.0001321,3.63431629870049e-06,0.000124976740054547,0.000139223259945453,0.920387343737975,10000000,20260619
0.2,"u-grid","equal",500,NA,11.1644101322913,5.73461172935619e-05,3.6,3.6,3.6,522,5.22e-05,2.28467229947754e-06,4.7722042293024e-05,5.6677957706976e-05,0.91026214962003,10000000,20260619
