"premium_loading","kind","allocation","value","epsilon","K","tail_approximation","premium_p1","premium_p2","premium_p3","exceedances","mc_probability","mc_se","ci_low","ci_high","mc_to_tail_approximation","n_paths","seed"
0.1,"capital","optimal",32.8514837518123,0.01,354.539777918584,0.01,3.3,6.6,13.2,87457,0.0087457,2.94435268463376e-05,0.00868799068738118,0.00880340931261882,0.874569999999999,10000000,20260618
0.1,"capital","optimal",70.7763762139233,0.001,354.539777918584,0.001,3.3,6.6,13.2,10385,0.0010385,1.01853891322325e-05,0.00101853663730082,0.00105846336269918,1.0385,10000000,20260618
0.1,"capital","optimal",152.483080150024,1e-04,354.539777918584,1e-04,3.3,6.6,13.2,1068,0.0001068,3.26785241037596e-06,0.000100395009275663,0.000113204990724337,1.068,10000000,20260618
0.1,"capital","equal",33.5606682624419,0.01,378,0.01,3.3,6.6,13.2,85210,0.008521,2.90661186934204e-05,0.0084640304073609,0.0085779695926391,0.852099999999999,10000000,20260618
0.1,"capital","equal",72.3042679252569,0.001,378,0.001,3.3,6.6,13.2,10348,0.0010348,1.0167247360815e-05,0.0010148721951728,0.0010547278048272,1.0348,10000000,20260618
0.1,"capital","equal",155.774823055533,1e-04,378,1e-04,3.3,6.6,13.2,1059,0.0001059,3.2540557031188e-06,9.95220508218871e-05,0.000112277949178113,1.059,10000000,20260618
0.2,"capital","optimal",32.8514837518123,0.01,354.539777918584,0.01,3.6,7.2,14.4,78360,0.007836,2.78829645195772e-05,0.00778134938954163,0.00789065061045837,0.783599999999999,10000000,20260618
0.2,"capital","optimal",70.7763762139233,0.001,354.539777918584,0.001,3.6,7.2,14.4,9734,0.0009734,9.86130058582538e-06,0.000954071850851782,0.000992728149148218,0.9734,10000000,20260618
0.2,"capital","optimal",152.483080150024,1e-04,354.539777918584,1e-04,3.6,7.2,14.4,1038,0.0001038,3.2216335229197e-06,9.74855982950774e-05,0.000110114401704923,1.038,10000000,20260618
0.2,"capital","equal",33.5606682624419,0.01,378,0.01,3.6,7.2,14.4,75880,0.007588,2.7441614850442e-05,0.00753421443489313,0.00764178556510687,0.758799999999999,10000000,20260618
0.2,"capital","equal",72.3042679252569,0.001,378,0.001,3.6,7.2,14.4,9678,0.0009678,9.83292104697277e-06,0.000948527474747933,0.000987072525252067,0.967799999999999,10000000,20260618
0.2,"capital","equal",155.774823055533,1e-04,378,1e-04,3.6,7.2,14.4,1025,0.0001025,3.20139803445307e-06,9.6225259852472e-05,0.000108774740147528,1.025,10000000,20260618
0.5,"capital","optimal",32.8514837518123,0.01,354.539777918584,0.01,4.5,9,18,58542,0.0058542,2.41245276479354e-05,0.00580691592581005,0.00590148407418995,0.58542,10000000,20260618
0.5,"capital","optimal",70.7763762139233,0.001,354.539777918584,0.001,4.5,9,18,8171,0.0008171,9.0356645997403e-06,0.000799390097384509,0.000834809902615491,0.8171,10000000,20260618
0.5,"capital","optimal",152.483080150024,1e-04,354.539777918584,1e-04,4.5,9,18,949,9.49e-05,3.08043818295385e-06,8.88623411614105e-05,0.00010093765883859,0.949,10000000,20260618
0.5,"capital","equal",33.5606682624419,0.01,378,0.01,4.5,9,18,55627,0.0055627,2.3519686155878e-05,0.00551660141513448,0.00560879858486552,0.55627,10000000,20260618
0.5,"capital","equal",72.3042679252569,0.001,378,0.001,4.5,9,18,8045,0.0008045,8.96578373456554e-06,0.000786927063880252,0.000822072936119748,0.804499999999999,10000000,20260618
0.5,"capital","equal",155.774823055533,1e-04,378,1e-04,4.5,9,18,933,9.33e-05,3.05436237388428e-06,8.73134497471868e-05,9.92865502528132e-05,0.933,10000000,20260618
