"premium_loading","kind","allocation","value","epsilon","K","tail_approximation","premium_p1","premium_p2","premium_p3","exceedances","mc_probability","mc_se","ci_low","ci_high","mc_to_tail_approximation","n_paths","seed"
0.1,"u-grid","optimal",40,NA,354.539777918584,0.00553968402997787,3.3,6.6,13.2,52236,0.0052236,2.27954249862555e-05,0.00517892096702694,0.00526827903297306,0.942941866671927,10000000,20260618
0.1,"u-grid","optimal",80,NA,354.539777918584,0.000692460503747234,3.3,6.6,13.2,7258,0.0007258,8.51629740180555e-06,0.000709108057092461,0.000742491942907539,1.04814642289683,10000000,20260618
0.1,"u-grid","optimal",160,NA,354.539777918584,8.65575629684043e-05,3.3,6.6,13.2,920,9.2e-05,3.03301064950323e-06,8.60552991269737e-05,9.79447008730263e-05,1.062876504894,10000000,20260618
0.1,"u-grid","optimal",320,NA,354.539777918584,1.08196953710505e-05,3.3,6.6,13.2,126,1.26e-05,1.12249014427745e-06,1.03999193172162e-05,1.48000806827838e-05,1.16454295318821,10000000,20260618
0.1,"u-grid","optimal",500,NA,354.539777918584,2.83631822334867e-06,3.3,6.6,13.2,38,3.8e-06,6.16440229057124e-07,2.59177715104804e-06,5.00822284895196e-06,1.33976504072014,10000000,20260618
0.1,"u-grid","equal",40,NA,378,0.00590625,3.3,6.6,13.2,54096,0.0054096,2.31955517887374e-05,0.00536413671849407,0.00545506328150592,0.915911111111111,10000000,20260618
0.1,"u-grid","equal",80,NA,378,0.00073828125,3.3,6.6,13.2,7753,0.0007753,8.8016981879067e-06,0.000758048671551703,0.000792551328448297,1.0501417989418,10000000,20260618
0.1,"u-grid","equal",160,NA,378,9.228515625e-05,3.3,6.6,13.2,985,9.85e-05,3.13831639179354e-06,9.23488998720847e-05,0.000104651100127915,1.06734391534392,10000000,20260618
0.1,"u-grid","equal",320,NA,378,1.153564453125e-05,3.3,6.6,13.2,139,1.39e-05,1.17897441829753e-06,1.15892101401368e-05,1.62107898598632e-05,1.20496084656085,10000000,20260618
0.1,"u-grid","equal",500,NA,378,3.024e-06,3.3,6.6,13.2,45,4.5e-06,6.70818883902354e-07,3.18519498755139e-06,5.81480501244861e-06,1.48809523809524,10000000,20260618
0.2,"u-grid","optimal",40,NA,354.539777918584,0.00553968402997787,3.6,7.2,14.4,47526,0.0047526,2.17485925826018e-05,0.0047099727585381,0.0047952272414619,0.857918966908837,10000000,20260618
0.2,"u-grid","optimal",80,NA,354.539777918584,0.000692460503747234,3.6,7.2,14.4,6813,0.0006813,8.25127766052022e-06,0.00066512749578538,0.00069747250421462,0.98388282986995,10000000,20260618
0.2,"u-grid","optimal",160,NA,354.539777918584,8.65575629684043e-05,3.6,7.2,14.4,894,8.94e-05,2.98984962230544e-06,8.35398947402813e-05,9.52601052597187e-05,1.03283869062526,10000000,20260618
0.2,"u-grid","optimal",320,NA,354.539777918584,1.08196953710505e-05,3.6,7.2,14.4,126,1.26e-05,1.12249014427745e-06,1.03999193172162e-05,1.48000806827838e-05,1.16454295318821,10000000,20260618
0.2,"u-grid","optimal",500,NA,354.539777918584,2.83631822334867e-06,3.6,7.2,14.4,38,3.8e-06,6.16440229057124e-07,2.59177715104804e-06,5.00822284895196e-06,1.33976504072014,10000000,20260618
0.2,"u-grid","equal",40,NA,378,0.00590625,3.6,7.2,14.4,48782,0.0048782,2.20327101482319e-05,0.00483501588810947,0.00492138411189053,0.825938624338624,10000000,20260618
0.2,"u-grid","equal",80,NA,378,0.00073828125,3.6,7.2,14.4,7275,0.0007275,8.52625793504982e-06,0.000710788534447302,0.000744211465552698,0.985396825396825,10000000,20260618
0.2,"u-grid","equal",160,NA,378,9.228515625e-05,3.6,7.2,14.4,954,9.54e-05,3.08854170831478e-06,8.9346458251703e-05,0.000101453541748297,1.03375238095238,10000000,20260618
0.2,"u-grid","equal",320,NA,378,1.153564453125e-05,3.6,7.2,14.4,136,1.36e-05,1.16618244884752e-06,1.13142824002589e-05,1.58857175997411e-05,1.1789544973545,10000000,20260618
0.2,"u-grid","equal",500,NA,378,3.024e-06,3.6,7.2,14.4,45,4.5e-06,6.70818883902354e-07,3.18519498755139e-06,5.81480501244861e-06,1.48809523809524,10000000,20260618
0.5,"u-grid","optimal",40,NA,354.539777918584,0.00553968402997787,4.5,9,18,36666,0.0036666,1.91132311356296e-05,0.00362913806697417,0.00370406193302583,0.661878905034706,10000000,20260618
0.5,"u-grid","optimal",80,NA,354.539777918584,0.000692460503747234,4.5,9,18,5860,0.000586,7.65282042125647e-06,0.000571000471974337,0.000600999528025663,0.846257651994409,10000000,20260618
0.5,"u-grid","optimal",160,NA,354.539777918584,8.65575629684043e-05,4.5,9,18,825,8.25e-05,2.87216283922065e-06,7.68705608351275e-05,8.81294391648725e-05,0.953122952758208,10000000,20260618
0.5,"u-grid","optimal",320,NA,354.539777918584,1.08196953710505e-05,4.5,9,18,116,1.16e-05,1.07702671461761e-06,9.48902763934949e-06,1.37109723606505e-05,1.07211890928438,10000000,20260618
0.5,"u-grid","optimal",500,NA,354.539777918584,2.83631822334867e-06,4.5,9,18,37,3.7e-06,6.08275127717713e-07,2.50778074967328e-06,4.89221925032672e-06,1.30450806596434,10000000,20260618
0.5,"u-grid","equal",40,NA,378,0.00590625,4.5,9,18,36879,0.0036879,1.91684621020832e-05,0.00365032981427992,0.00372547018572008,0.624406349206349,10000000,20260618
0.5,"u-grid","equal",80,NA,378,0.00073828125,4.5,9,18,6103,0.0006103,7.80978574552465e-06,0.000594992819938772,0.000625607180061228,0.826649735449736,10000000,20260618
0.5,"u-grid","equal",160,NA,378,9.228515625e-05,4.5,9,18,875,8.75e-05,2.95791047447349e-06,8.1702495470032e-05,9.3297504529968e-05,0.948148148148148,10000000,20260618
0.5,"u-grid","equal",320,NA,378,1.153564453125e-05,4.5,9,18,128,1.28e-05,1.13136360910187e-06,1.05825273261603e-05,1.50174726738397e-05,1.10960423280423,10000000,20260618
0.5,"u-grid","equal",500,NA,378,3.024e-06,4.5,9,18,43,4.3e-06,6.55742442579402e-07,3.01474481254437e-06,5.58525518745563e-06,1.42195767195767,10000000,20260618
